Пол;Возраст;Регион;Количество детей;Трудоустроен;Годовой доход;Отрасль
ж;33;Липецкая область;2;1;1094514;Государственные организации
ж;49;Ростовская область;2;1;338079;Металлургия, металлообработка
ж;85;Республика Мордовия;0;0;0;NULL
ж;73;Астраханская область;2;1;256208;Продукты питания
м;69;Чеченская Республика;1;1;1769148;Телекоммуникации, связь
ж;77;Ивановская область;0;1;33648;Услуги для бизнеса
м;74;Кемеровская область;0;1;1844127;Управление многопрофильными активами
м;84;Карачаево - Черкесская Республика;1;0;0;NULL
ж;18;Пермский край;2;1;845624;Гостинницы, рестораны, общепит, кейтеринг
м;33;Вологодская область;0;0;0;NULL
ж;79;Хабаровский край;2;1;1486446;Металлургия, металлообработка
м;70;Чеченская Республика;0;1;557690;Добывающая отрасль
м;44;Республика Бурятия;0;0;0;NULL
ж;62;Амурская область;1;0;0;NULL
м;38;Республика Крым;1;0;0;NULL
м;60;Мурманская область;2;0;0;NULL
м;20;Брянская область;2;1;327480;Образовательные учреждения
ж;60;Севастополь;1;0;0;NULL
ж;52;Ханты - Мансийский автономный округ - Югра;0;0;0;NULL
м;77;Республика Тыва;0;0;0;NULL
ж;82;Ленинградская область;1;1;709840;Гостинницы, рестораны, общепит, кейтеринг
ж;60;Ростовская область;2;0;0;NULL
м;53;Липецкая область;0;1;1068160;Строительство, недвижимость, эксплуатация, проектирование
м;37;Ненецкий автономный округ;0;1;908313;Перевозки, логистика, склад, ВЭД
м;46;Калужская область;2;0;0;NULL
м;81;Кабардино - Балкарская Республика;1;0;0;NULL
м;48;Псковская область;2;1;254898;Товары народного потребления (непищевые)
ж;39;Калининградская область;1;0;0;NULL
м;86;Ульяновская область;2;1;1968363;Информационные технологии, системная интеграция, интернет
м;16;Республика Башкортостан;2;1;348018;Розничная торговля
м;57;Тамбовская область;0;0;0;NULL
м;69;Оренбургская область;1;1;336050;Медицина, фармацевтика, аптеки
ж;33;Красноярский край;0;1;231387;Добывающая отрасль
м;75;Пензенская область;1;1;2711075;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;54;Псковская область;0;1;276471;Общественная деятельность, партии, благотворительность, НКО
м;44;Забайкальский край;2;1;816959;Телекоммуникации, связь
м;56;Красноярский край;1;1;426126;Тяжелое машиностроение
м;38;Республика Крым;0;0;0;NULL
м;76;Республика Тыва;2;0;0;NULL
ж;73;Смоленская область;1;0;0;NULL
м;48;Севастополь;1;1;2859552;Добывающая отрасль
ж;44;Новгородская область;1;1;69360;Государственные организации
ж;79;Кемеровская область;1;0;0;NULL
ж;56;Республика Саха(Якутия);2;1;140580;Товары народного потребления (непищевые)
м;67;Мурманская область;0;1;558576;Лесная промышленность, деревообработка
м;81;Свердловская область;0;0;0;NULL
ж;24;Курская область;2;1;387772;Нефть и газ
м;48;Мурманская область;2;0;0;NULL
м;75;Курская область;0;0;0;NULL
м;49;Тульская область;0;1;568850;Розничная торговля
м;38;Саратовская область;0;1;208810;Общественная деятельность, партии, благотворительность, НКО
ж;29;Республика Калмыкия;1;0;0;NULL
ж;79;Удмуртская Республика;1;0;0;NULL
м;23;Республика Мордовия;2;1;216256;Промышленное оборудование, техника, станки и комплектующие
ж;64;Красноярский край;0;0;0;NULL
ж;19;Белгородская область;0;0;0;NULL
м;45;Республика Алтай;0;0;0;NULL
ж;46;Республика Татарстан(Татарстан);1;0;0;NULL
ж;45;Камчатский край;1;1;764650;Продукты питания
м;27;Новгородская область;0;1;737862;Автомобильный бизнес
м;22;Республика Марий Эл;1;1;240700;Медицина, фармацевтика, аптеки
м;33;Республика Мордовия;0;1;1241548;Гостинницы, рестораны, общепит, кейтеринг
м;50;Алтайский край;0;1;788706;Сельское хозяйство
ж;46;Смоленская область;1;1;413028;Сельское хозяйство
ж;66;Республика Тыва;1;0;0;NULL
м;58;Ставропольский край;1;1;649865;Управление многопрофильными активами
ж;65;Московская область;1;1;53790;Автомобильный бизнес
м;30;Республика Карелия;2;0;0;NULL
м;48;Самарская область;1;1;763587;Химическое производство, удобрения
м;75;Новгородская область;1;0;0;NULL
ж;15;Рязанская область;0;1;61985;ЖКХ
ж;50;Краснодарский край;2;1;411308;Добывающая отрасль
м;30;Республика Алтай;0;1;270062;Тяжелое машиностроение
м;46;Самарская область;2;1;123570;Телекоммуникации, связь
м;58;Псковская область;1;1;2105976;Информационные технологии, системная интеграция, интернет
м;33;Волгоградская область;2;0;0;NULL
ж;74;Саратовская область;1;0;0;NULL
ж;43;Краснодарский край;0;0;0;NULL
ж;28;Самарская область;2;0;0;NULL
м;31;Ростовская область;2;0;0;NULL
ж;52;Республика Марий Эл;2;0;0;NULL
м;19;Курская область;2;1;618969;Лесная промышленность, деревообработка
ж;55;Кемеровская область;0;0;0;NULL
ж;68;Камчатский край;1;1;1249866;Автомобильный бизнес
м;44;Республика Коми;2;0;0;NULL
м;63;Калужская область;2;0;0;NULL
ж;45;Владимирская область;0;1;369750;Медицина, фармацевтика, аптеки
ж;57;Костромская область;0;0;0;NULL
ж;60;г.Москва;1;0;0;NULL
м;48;Томская область;1;0;0;NULL
ж;48;Смоленская область;1;1;986250;Медицина, фармацевтика, аптеки
м;35;Удмуртская Республика;0;0;0;NULL
м;38;г.Москва;2;1;412412;Финансовый сектор
м;78;Костромская область;0;0;0;NULL
м;31;Липецкая область;2;0;0;NULL
м;88;Оренбургская область;0;0;0;NULL
ж;30;Оренбургская область;0;1;888200;Лесная промышленность, деревообработка
м;32;Красноярский край;2;1;402078;Металлургия, металлообработка
ж;32;Алтайский край;1;1;1279280;Тяжелое машиностроение
м;68;Тюменская область;0;1;112880;Государственные организации
м;61;Нижегородская область;1;1;1190772;Управление многопрофильными активами
ж;81;Ставропольский край;1;0;0;NULL
м;49;Республика Карелия;0;1;1314176;Услуги для населения
ж;60;Республика Алтай;2;0;0;NULL
ж;47;Тамбовская область;0;0;0;NULL
ж;84;Республика Крым;1;0;0;NULL
м;85;Оренбургская область;0;0;0;NULL
м;31;Калужская область;0;1;1768805;Промышленное оборудование, техника, станки и комплектующие
м;88;г.Москва;0;1;121140;Сельское хозяйство
м;47;Владимирская область;0;0;0;NULL
ж;27;Республика Мордовия;2;1;695711;Лесная промышленность, деревообработка
м;16;Саратовская область;1;1;2529425;Автомобильный бизнес
ж;75;Республика Крым;0;1;2433827;Розничная торговля
ж;17;Красноярский край;0;0;0;NULL
м;63;Республика Дагестан;1;0;0;NULL
м;74;Еврейская автономная область;0;1;69240;Перевозки, логистика, склад, ВЭД
м;57;Камчатский край;0;0;0;NULL
м;25;Тверская область;1;1;1161402;Государственные организации
ж;14;Республика Коми;2;0;0;NULL
ж;27;Республика Бурятия;2;0;0;NULL
м;14;Республика Бурятия;0;1;548688;Услуги для населения
м;34;Иные территории, включая город и космодром Байконур;1;0;0;NULL
м;74;Амурская область;1;0;0;NULL
м;63;Архангельская область;2;1;125400;Энергетика
м;81;Забайкальский край;2;0;0;NULL
ж;55;Владимирская область;0;0;0;NULL
м;80;Костромская область;1;0;0;NULL
ж;59;Приморский край;2;0;0;NULL
ж;16;Республика Татарстан(Татарстан);2;0;0;NULL
м;78;Чеченская Республика;2;0;0;NULL
м;34;Санкт - Петербург;1;1;130064;Перевозки, логистика, склад, ВЭД
ж;66;Алтайский край;0;0;0;NULL
м;30;Московская область;2;1;388780;Металлургия, металлообработка
ж;63;Тульская область;2;0;0;NULL
м;37;Республика Татарстан(Татарстан);2;0;0;NULL
ж;26;Сахалинская область;1;0;0;NULL
м;68;Московская область;0;0;0;NULL
ж;53;г.Москва;2;1;828178;Розничная торговля
м;72;г.Москва;0;1;1675913;Нефть и газ
м;78;Кабардино - Балкарская Республика;1;0;0;NULL
м;78;Тамбовская область;0;0;0;NULL
ж;32;Омская область;2;1;1916864;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;26;Кабардино - Балкарская Республика;1;1;430650;Химическое производство, удобрения
ж;81;Смоленская область;0;0;0;NULL
ж;79;Калининградская область;1;0;0;NULL
м;73;Ульяновская область;1;1;270860;Информационные технологии, системная интеграция, интернет
м;33;Калининградская область;1;0;0;NULL
м;60;Омская область;1;1;164765;Лесная промышленность, деревообработка
м;57;Владимирская область;1;1;301125;Химическое производство, удобрения
ж;17;Омская область;1;0;0;NULL
ж;35;Республика Ингушетия;1;0;0;NULL
ж;43;Ярославская область;1;1;30300;Энергетика
ж;77;Ставропольский край;0;0;0;NULL
ж;79;Еврейская автономная область;2;1;91488;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;26;Архангельская область;2;1;2396150;Услуги для бизнеса
ж;56;Республика Ингушетия;0;1;272540;Тяжелое машиностроение
м;77;Севастополь;1;1;313234;Тяжелое машиностроение
ж;72;Волгоградская область;2;1;2323040;Строительство, недвижимость, эксплуатация, проектирование
ж;23;Санкт - Петербург;0;0;0;NULL
ж;52;Ставропольский край;1;1;198120;Гостинницы, рестораны, общепит, кейтеринг
м;54;Республика Карелия;0;1;549999;Тяжелое машиностроение
ж;59;Республика Калмыкия;0;1;508080;Лесная промышленность, деревообработка
м;24;Республика Алтай;0;1;605728;Товары народного потребления (непищевые)
м;25;Липецкая область;2;0;0;NULL
м;49;Хабаровский край;2;0;0;NULL
м;78;Кировская область;1;0;0;NULL
ж;55;Калужская область;1;1;921936;ЖКХ
ж;76;Тверская область;0;0;0;NULL
м;44;Республика Дагестан;1;0;0;NULL
м;64;Тульская область;2;1;169540;Автомобильный бизнес
м;48;Чеченская Республика;0;0;0;NULL
ж;64;Оренбургская область;1;0;0;NULL
м;65;Республика Коми;1;1;2627448;Промышленное оборудование, техника, станки и комплектующие
м;87;Республика Крым;2;1;824897;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;35;Новосибирская область;0;1;260064;Сельское хозяйство
ж;85;Новгородская область;1;1;1762350;Гостинницы, рестораны, общепит, кейтеринг
м;51;Челябинская область;0;1;988160;Управление многопрофильными активами
м;14;Тульская область;0;0;0;NULL
ж;26;Саратовская область;0;1;464038;Перевозки, логистика, склад, ВЭД
ж;61;Рязанская область;1;0;0;NULL
м;66;Новгородская область;1;1;8112;Добывающая отрасль
ж;21;Республика Мордовия;2;0;0;NULL
ж;38;Оренбургская область;1;0;0;NULL
ж;27;Московская область;1;0;0;NULL
м;67;Тульская область;1;0;0;NULL
м;26;Красноярский край;2;0;0;NULL
ж;78;Белгородская область;2;0;0;NULL
ж;72;Тверская область;1;0;0;NULL
ж;58;Ростовская область;2;1;1764301;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;35;Воронежская область;2;1;701005;Металлургия, металлообработка
м;47;Саратовская область;0;0;0;NULL
м;81;Краснодарский край;1;1;993561;Услуги для населения
ж;75;Рязанская область;1;1;271859;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;32;Республика Бурятия;1;1;1869457;Лесная промышленность, деревообработка
м;16;Алтайский край;1;0;0;NULL
ж;86;Республика Алтай;1;1;159766;Энергетика
м;54;Орловская область;1;0;0;NULL
м;83;Ленинградская область;0;0;0;NULL
ж;33;Чеченская Республика;0;0;0;NULL
ж;52;Ненецкий автономный округ;0;1;1635984;Искусство, культура
ж;56;Хабаровский край;2;1;1132936;Металлургия, металлообработка
м;26;Пермский край;1;1;563472;ЖКХ
м;54;Сахалинская область;1;0;0;NULL
м;32;Липецкая область;1;1;2267538;Химическое производство, удобрения
ж;84;Московская область;2;0;0;NULL
ж;34;Республика Адыгея(Адыгея);2;1;197780;Образовательные учреждения
м;56;Ивановская область;2;0;0;NULL
м;43;Республика Алтай;1;1;245358;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;84;Воронежская область;2;0;0;NULL
ж;22;Белгородская область;0;0;0;NULL
ж;15;Челябинская область;1;0;0;NULL
м;52;Ленинградская область;2;1;1023648;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;88;Калининградская область;1;1;1733480;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;88;Еврейская автономная область;2;1;2468256;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;58;Еврейская автономная область;2;0;0;NULL
м;72;Красноярский край;2;0;0;NULL
м;81;Астраханская область;2;0;0;NULL
ж;49;Кабардино - Балкарская Республика;2;1;542810;Строительство, недвижимость, эксплуатация, проектирование
м;24;Забайкальский край;0;1;3344;Государственные организации
м;69;Смоленская область;2;0;0;NULL
м;75;Республика Тыва;0;1;1510405;Гостинницы, рестораны, общепит, кейтеринг
м;31;Ульяновская область;1;1;244584;Государственные организации
ж;26;Вологодская область;0;1;219056;ЖКХ
м;38;Саратовская область;1;1;213670;Автомобильный бизнес
м;49;Ульяновская область;1;1;777614;Лесная промышленность, деревообработка
ж;85;Краснодарский край;1;1;1011188;Медицина, фармацевтика, аптеки
ж;34;Республика Тыва;0;1;307440;Финансовый сектор
м;79;Удмуртская Республика;1;1;1368276;Добывающая отрасль
ж;30;Калужская область;2;0;0;NULL
ж;50;Рязанская область;0;1;111880;Управление многопрофильными активами
ж;74;Красноярский край;1;0;0;NULL
м;55;Новосибирская область;1;1;83847;Нефть и газ
м;45;Тульская область;1;0;0;NULL
м;51;Республика Калмыкия;0;0;0;NULL
ж;51;Красноярский край;2;0;0;NULL
ж;78;Оренбургская область;1;0;0;NULL
ж;44;Пензенская область;1;0;0;NULL
м;63;Тульская область;2;1;1514793;Добывающая отрасль
м;54;Республика Тыва;0;0;0;NULL
ж;69;Костромская область;2;0;0;NULL
м;59;Курганская область;2;1;818829;Искусство, культура
ж;61;Республика Хакасия;1;1;1946304;Медицина, фармацевтика, аптеки
ж;45;Республика Ингушетия;0;1;1710375;Образовательные учреждения
ж;21;Ленинградская область;1;1;218655;Гостинницы, рестораны, общепит, кейтеринг
м;34;Ямало - Ненецкий автономный округ;2;0;0;NULL
ж;23;Омская область;2;1;71480;Автомобильный бизнес
м;43;Омская область;2;1;333760;Образовательные учреждения
ж;49;Республика Карелия;1;0;0;NULL
ж;87;Алтайский край;0;0;0;NULL
ж;14;Белгородская область;1;1;660825;Энергетика
м;76;Ямало - Ненецкий автономный округ;0;1;1125045;Автомобильный бизнес
м;69;Ставропольский край;2;1;2705856;Промышленное оборудование, техника, станки и комплектующие
ж;18;Республика Мордовия;0;1;620075;Энергетика
м;46;Ямало - Ненецкий автономный округ;2;1;1998282;Химическое производство, удобрения
ж;78;Псковская область;0;1;572518;Розничная торговля
ж;33;Республика Северная Осетия - Алания;2;0;0;NULL
м;71;Ростовская область;2;0;0;NULL
м;43;Магаданская область;0;0;0;NULL
ж;39;Архангельская область;1;0;0;NULL
м;61;г.Москва;2;1;1725150;Перевозки, логистика, склад, ВЭД
ж;44;Иные территории, включая город и космодром Байконур;1;0;0;NULL
ж;34;Тамбовская область;0;0;0;NULL
ж;23;Владимирская область;0;1;733924;Нефть и газ
ж;49;Еврейская автономная область;1;0;0;NULL
м;21;Смоленская область;1;0;0;NULL
м;63;Чувашская Республика - Чувашия;1;1;683333;Энергетика
м;31;Чукотский автономный округ;1;0;0;NULL
ж;75;Республика Коми;0;1;124201;Энергетика
ж;16;Карачаево - Черкесская Республика;1;1;128180;Тяжелое машиностроение
м;80;Чукотский автономный округ;1;1;174384;Строительство, недвижимость, эксплуатация, проектирование
ж;58;Ленинградская область;0;1;44640;Управление многопрофильными активами
м;50;Республика Крым;2;0;0;NULL
м;43;Республика Коми;0;0;0;NULL
ж;21;Курганская область;1;0;0;NULL
м;74;Республика Марий Эл;1;0;0;NULL
м;69;Смоленская область;1;0;0;NULL
м;39;Оренбургская область;2;0;0;NULL
м;38;Пермский край;0;0;0;NULL
м;56;Республика Карелия;0;1;130840;Лесная промышленность, деревообработка
м;21;Сахалинская область;1;0;0;NULL
ж;70;Оренбургская область;1;1;89760;Услуги для населения
м;38;Самарская область;1;0;0;NULL
ж;35;Курганская область;0;0;0;NULL
ж;54;Республика Башкортостан;0;0;0;NULL
ж;57;Республика Карелия;1;0;0;NULL
ж;27;Еврейская автономная область;1;1;671988;Сельское хозяйство
м;31;Республика Марий Эл;0;0;0;NULL
ж;82;Иные территории, включая город и космодром Байконур;1;0;0;NULL
ж;52;Ростовская область;2;1;572838;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;22;Забайкальский край;1;0;0;NULL
м;32;Краснодарский край;0;0;0;NULL
м;16;Тульская область;2;0;0;NULL
м;38;Республика Башкортостан;1;1;158634;Образовательные учреждения
ж;17;Ярославская область;2;1;730752;Перевозки, логистика, склад, ВЭД
м;56;Ярославская область;0;0;0;NULL
ж;32;Калининградская область;1;0;0;NULL
ж;70;Удмуртская Республика;2;0;0;NULL
м;53;Магаданская область;0;0;0;NULL
ж;42;Республика Хакасия;0;0;0;NULL
м;27;Республика Татарстан(Татарстан);2;0;0;NULL
ж;64;Иркутская область;0;1;129640;Химическое производство, удобрения
ж;30;Республика Хакасия;2;0;0;NULL
м;34;Республика Северная Осетия - Алания;0;0;0;NULL
м;18;Красноярский край;0;1;401338;Продукты питания
ж;43;Сахалинская область;0;0;0;NULL
м;75;Хабаровский край;0;1;863100;Продукты питания
ж;25;Республика Саха(Якутия);2;0;0;NULL
ж;58;Камчатский край;1;0;0;NULL
ж;68;Республика Хакасия;1;0;0;NULL
ж;58;Астраханская область;2;0;0;NULL
ж;49;Калининградская область;2;1;1606500;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;54;Республика Саха(Якутия);2;1;1595270;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;41;Новосибирская область;1;0;0;NULL
м;53;Тюменская область;1;0;0;NULL
м;86;Тюменская область;0;0;0;NULL
м;86;Оренбургская область;1;0;0;NULL
м;67;Республика Бурятия;0;1;1306344;Химическое производство, удобрения
ж;58;Ивановская область;1;0;0;NULL
м;28;Кировская область;1;0;0;NULL
ж;33;Тюменская область;0;0;0;NULL
м;62;Иные территории, включая город и космодром Байконур;0;0;0;NULL
ж;28;Хабаровский край;1;0;0;NULL
м;69;Чеченская Республика;0;0;0;NULL
ж;87;Ленинградская область;2;1;1001246;Металлургия, металлообработка
м;42;Липецкая область;1;0;0;NULL
м;23;Сахалинская область;1;0;0;NULL
ж;20;Тульская область;0;0;0;NULL
ж;75;Республика Башкортостан;2;1;64636;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;51;Челябинская область;2;1;384255;Образовательные учреждения
ж;16;Псковская область;0;0;0;NULL
м;53;Московская область;0;0;0;NULL
м;38;Республика Северная Осетия - Алания;1;1;114192;Образовательные учреждения
м;35;Республика Саха(Якутия);0;1;185352;Товары народного потребления (непищевые)
ж;73;Кировская область;0;1;580032;Добывающая отрасль
ж;31;Псковская область;0;0;0;NULL
ж;45;Республика Мордовия;2;0;0;NULL
м;75;Оренбургская область;0;0;0;NULL
ж;28;Вологодская область;0;0;0;NULL
м;29;Республика Бурятия;0;0;0;NULL
ж;42;Санкт - Петербург;1;1;8932;Медицина, фармацевтика, аптеки
м;59;Вологодская область;1;0;0;NULL
ж;62;Краснодарский край;0;0;0;NULL
ж;56;Хабаровский край;2;1;161224;Розничная торговля
м;78;Республика Мордовия;1;1;2988795;Медицина, фармацевтика, аптеки
ж;39;Амурская область;0;1;57555;Нефть и газ
м;37;Республика Адыгея(Адыгея);1;0;0;NULL
ж;66;г.Москва;0;1;1465584;Образовательные учреждения
ж;16;Алтайский край;1;1;405496;Химическое производство, удобрения
м;14;Республика Дагестан;0;0;0;NULL
ж;70;Рязанская область;2;0;0;NULL
м;82;Ивановская область;2;0;0;NULL
м;24;Мурманская область;2;0;0;NULL
м;45;Владимирская область;1;0;0;NULL
ж;79;Ростовская область;2;1;128184;Услуги для бизнеса
м;34;Архангельская область;1;0;0;NULL
ж;51;Владимирская область;2;0;0;NULL
м;80;Волгоградская область;0;0;0;NULL
м;53;Тверская область;0;0;0;NULL
м;33;Новгородская область;2;1;1302793;ЖКХ
м;49;Ивановская область;1;0;0;NULL
ж;65;Ненецкий автономный округ;1;0;0;NULL
ж;32;Краснодарский край;0;1;558116;Искусство, культура
ж;64;Республика Мордовия;1;1;5182;Искусство, культура
ж;41;Мурманская область;2;1;87492;Услуги для населения
ж;15;Ямало - Ненецкий автономный округ;1;1;2101932;Металлургия, металлообработка
м;46;Республика Саха(Якутия);0;0;0;NULL
м;34;Владимирская область;0;0;0;NULL
ж;40;Ивановская область;2;0;0;NULL
м;71;Московская область;2;0;0;NULL
м;80;Белгородская область;0;0;0;NULL
ж;59;Тверская область;1;0;0;NULL
ж;35;Челябинская область;1;1;653562;Образовательные учреждения
ж;55;Вологодская область;0;0;0;NULL
м;40;Оренбургская область;1;0;0;NULL
ж;50;Нижегородская область;2;0;0;NULL
ж;64;Омская область;0;1;77504;Энергетика
м;30;Томская область;1;0;0;NULL
ж;66;Кировская область;0;0;0;NULL
м;27;Томская область;2;0;0;NULL
м;80;Еврейская автономная область;0;1;1544320;Лесная промышленность, деревообработка
ж;77;Амурская область;0;0;0;NULL
м;68;Оренбургская область;2;1;29158;Общественная деятельность, партии, благотворительность, НКО
ж;61;Тверская область;2;1;1229184;Тяжелое машиностроение
ж;16;Самарская область;0;0;0;NULL
м;68;Костромская область;0;1;464597;Услуги для населения
ж;49;Тюменская область;1;0;0;NULL
ж;68;Пензенская область;0;0;0;NULL
ж;38;Республика Башкортостан;2;1;423430;Телекоммуникации, связь
ж;54;Республика Крым;0;0;0;NULL
м;83;Пензенская область;2;0;0;NULL
м;44;Сахалинская область;1;1;249670;Услуги для населения
ж;16;Белгородская область;0;1;266658;Строительство, недвижимость, эксплуатация, проектирование
м;70;Республика Крым;0;0;0;NULL
м;42;Тамбовская область;1;1;1215000;Строительство, недвижимость, эксплуатация, проектирование
ж;86;Брянская область;1;1;357345;Государственные организации
ж;49;Чувашская Республика - Чувашия;2;0;0;NULL
м;38;Иркутская область;0;1;49088;Услуги для населения
м;29;Московская область;0;1;815558;Информационные технологии, системная интеграция, интернет
м;36;Оренбургская область;2;1;563185;Услуги для бизнеса
м;30;Чувашская Республика - Чувашия;0;0;0;NULL
ж;60;Камчатский край;0;1;510000;Государственные организации
ж;36;Ростовская область;2;0;0;NULL
м;50;Саратовская область;2;0;0;NULL
м;45;Курганская область;1;0;0;NULL
м;58;Чукотский автономный округ;0;1;280737;Общественная деятельность, партии, благотворительность, НКО
м;54;Санкт - Петербург;0;1;97760;Управление многопрофильными активами
ж;80;Республика Алтай;0;1;2094144;Строительство, недвижимость, эксплуатация, проектирование
м;75;Чеченская Республика;1;1;851620;Финансовый сектор
м;78;Краснодарский край;1;0;0;NULL
ж;82;Владимирская область;0;1;526644;Услуги для бизнеса
ж;17;Магаданская область;2;1;2063100;Розничная торговля
м;28;Омская область;1;1;341208;Промышленное оборудование, техника, станки и комплектующие
м;21;Приморский край;1;0;0;NULL
ж;52;Красноярский край;2;1;483516;Услуги для бизнеса
ж;23;Калининградская область;1;1;628482;Лесная промышленность, деревообработка
ж;44;Кировская область;0;0;0;NULL
ж;19;Краснодарский край;0;0;0;NULL
м;77;Камчатский край;1;0;0;NULL
ж;20;Тверская область;0;0;0;NULL
м;39;Республика Марий Эл;1;1;201177;Добывающая отрасль
м;76;Ямало - Ненецкий автономный округ;2;1;119772;Нефть и газ
м;31;Саратовская область;1;0;0;NULL
ж;56;Сахалинская область;1;0;0;NULL
м;33;Республика Саха(Якутия);2;1;468234;Энергетика
м;57;Новосибирская область;1;1;958464;Государственные организации
м;61;Липецкая область;0;0;0;NULL
ж;85;Курская область;2;1;1058769;Строительство, недвижимость, эксплуатация, проектирование
м;54;Республика Мордовия;2;1;44820;Образовательные учреждения
ж;82;Санкт - Петербург;1;0;0;NULL
м;14;Иные территории, включая город и космодром Байконур;0;1;1697640;Химическое производство, удобрения
ж;54;Ростовская область;2;0;0;NULL
м;67;Республика Татарстан(Татарстан);2;0;0;NULL
м;71;Республика Башкортостан;1;0;0;NULL
ж;59;Забайкальский край;2;1;1835968;Перевозки, логистика, склад, ВЭД
м;55;г.Москва;0;1;51320;Услуги для населения
ж;71;Республика Калмыкия;2;0;0;NULL
м;64;Республика Ингушетия;1;0;0;NULL
ж;31;Орловская область;2;0;0;NULL
ж;88;Республика Бурятия;1;1;308672;Лесная промышленность, деревообработка
м;72;Республика Башкортостан;0;1;1486385;Тяжелое машиностроение
ж;35;Республика Саха(Якутия);1;1;59906;Продукты питания
ж;59;Свердловская область;2;0;0;NULL
ж;45;Кировская область;0;1;19044;Перевозки, логистика, склад, ВЭД
ж;69;Калужская область;0;1;1721096;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;69;Ивановская область;0;0;0;NULL
м;81;Республика Крым;0;0;0;NULL
ж;21;Кировская область;0;0;0;NULL
м;46;Волгоградская область;1;0;0;NULL
ж;30;Республика Бурятия;2;0;0;NULL
м;18;Республика Дагестан;0;1;1510620;Государственные организации
м;43;Кабардино - Балкарская Республика;2;1;285090;Промышленное оборудование, техника, станки и комплектующие
ж;76;Забайкальский край;2;1;781928;Общественная деятельность, партии, благотворительность, НКО
ж;18;Брянская область;0;1;455;Продукты питания
м;56;Республика Саха(Якутия);2;1;642796;Образовательные учреждения
м;85;Камчатский край;1;0;0;NULL
ж;79;Алтайский край;1;1;373670;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;48;Челябинская область;2;0;0;NULL
ж;47;Иные территории, включая город и космодром Байконур;2;1;206336;Автомобильный бизнес
ж;60;Новосибирская область;0;0;0;NULL
ж;64;Ямало - Ненецкий автономный округ;2;1;474600;Лесная промышленность, деревообработка
м;69;Ханты - Мансийский автономный округ - Югра;1;1;1827075;Образовательные учреждения
м;81;Челябинская область;0;1;431955;Информационные технологии, системная интеграция, интернет
ж;63;Ленинградская область;0;0;0;NULL
ж;64;Санкт - Петербург;1;1;730296;Розничная торговля
ж;74;Иные территории, включая город и космодром Байконур;2;1;394687;Телекоммуникации, связь
ж;60;Карачаево - Черкесская Республика;0;1;1128029;Нефть и газ
ж;78;Республика Адыгея(Адыгея);2;1;2063175;Автомобильный бизнес
м;57;Липецкая область;0;0;0;NULL
ж;25;Новосибирская область;0;1;4;Сельское хозяйство
ж;68;Республика Саха(Якутия);1;0;0;NULL
м;68;Камчатский край;2;0;0;NULL
м;47;Вологодская область;2;1;786777;Нефть и газ
м;14;Тамбовская область;2;0;0;NULL
м;84;Астраханская область;1;1;199332;Тяжелое машиностроение
ж;70;Республика Дагестан;2;1;1864188;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;19;Рязанская область;2;1;1655223;Услуги для бизнеса
м;59;Удмуртская Республика;0;0;0;NULL
ж;81;Приморский край;1;0;0;NULL
м;15;Новосибирская область;1;0;0;NULL
ж;23;Республика Крым;0;0;0;NULL
ж;64;Ставропольский край;0;1;1761936;Перевозки, логистика, склад, ВЭД
ж;36;Калужская область;2;0;0;NULL
м;35;Вологодская область;2;0;0;NULL
м;14;Белгородская область;1;1;2535440;Услуги для бизнеса
м;38;Республика Саха(Якутия);1;0;0;NULL
ж;25;Республика Татарстан(Татарстан);2;0;0;NULL
ж;71;Калининградская область;0;1;751850;Гостинницы, рестораны, общепит, кейтеринг
ж;14;Забайкальский край;2;0;0;NULL
м;39;Волгоградская область;2;1;648575;Энергетика
ж;56;Московская область;1;0;0;NULL
ж;68;Вологодская область;2;1;312432;Металлургия, металлообработка
м;56;Ненецкий автономный округ;0;0;0;NULL
м;69;Республика Саха(Якутия);1;0;0;NULL
м;84;Курганская область;2;1;301646;Телекоммуникации, связь
ж;39;Курганская область;2;1;353632;Энергетика
ж;29;Республика Бурятия;2;0;0;NULL
м;76;Красноярский край;2;0;0;NULL
ж;52;Архангельская область;1;0;0;NULL
ж;25;Хабаровский край;2;1;393480;Химическое производство, удобрения
ж;67;Красноярский край;1;0;0;NULL
